run_id,folder,batch_size,dropout,hidden_dim,learning_rate,n_bins,n_layers,patience,pca_variance,weight_decay,accuracy,precision,recall,f1,auroc,avg_precision,best_val_loss,final_train_loss,train_val_gap,epochs_trained,train_time_sec,n_pca_total,n_pca_fp,n_pca_ch,tail_bound,TP,FP,TN,FN
26,run_0026,32,0.4,24,0.0003,5,8,20,0.9,0.0001,0.9174,0.8,0.8727,0.8348,0.9645,0.878,114.5648,82.9534,33.0911,78,27.3,85,56,29,32.25,48,12,163,7
27,run_0027,32,0.4,24,0.0003,8,4,20,0.9,0.0001,0.913,0.807,0.8364,0.8214,0.9568,0.8556,136.584,105.797,33.2524,78,16.2,85,56,29,32.25,46,11,164,9
28,run_0028,32,0.4,24,0.0003,8,8,20,0.9,0.0001,0.9217,0.8776,0.7818,0.8269,0.9657,0.8859,121.8399,89.8593,36.4036,74,29.3,85,56,29,32.25,43,6,169,12
29,run_0029,32,0.4,24,0.0005,5,4,20,0.9,0.0001,0.9435,0.9038,0.8545,0.8785,0.9745,0.9272,120.9459,96.2005,26.9866,82,15.3,85,56,29,32.25,47,5,170,8
30,run_0030,32,0.4,24,0.0005,5,8,20,0.9,0.0001,0.9217,0.8364,0.8364,0.8364,0.9626,0.8779,113.3361,78.8357,37.9104,79,28.0,85,56,29,32.25,46,9,166,9
31,run_0031,32,0.4,24,0.0005,8,4,20,0.9,0.0001,0.9217,0.8364,0.8364,0.8364,0.9699,0.8976,126.64,96.0054,31.6057,94,20.3,85,56,29,32.25,46,9,166,9
32,run_0032,32,0.4,24,0.0005,8,8,20,0.9,0.0001,0.8957,0.7313,0.8909,0.8033,0.9473,0.8083,126.647,87.2205,43.3207,57,23.6,85,56,29,32.25,49,18,157,6
33,run_0033,32,0.4,32,0.0003,5,4,20,0.9,0.0001,0.9348,0.8333,0.9091,0.8696,0.9734,0.9274,120.2111,91.6979,29.0017,120,20.8,85,56,29,32.25,50,10,165,5
34,run_0034,32,0.4,32,0.0003,5,8,20,0.9,0.0001,0.8957,0.7123,0.9455,0.8125,0.9561,0.8637,116.8309,82.872,35.0486,54,19.2,85,56,29,32.25,52,21,154,3
35,run_0035,32,0.4,32,0.0003,8,4,20,0.9,0.0001,0.8913,0.7083,0.9273,0.8031,0.9583,0.8604,130.2041,99.2367,32.9773,95,19.9,85,56,29,32.25,51,21,154,4
36,run_0036,32,0.4,32,0.0003,8,8,20,0.9,0.0001,0.9174,0.7647,0.9455,0.8455,0.9695,0.9126,125.5491,87.8727,40.788,62,26.0,85,56,29,32.25,52,16,159,3
37,run_0037,32,0.4,32,0.0005,5,4,20,0.9,0.0001,0.9217,0.7761,0.9455,0.8525,0.9624,0.8411,123.5398,94.242,31.4257,70,14.2,85,56,29,32.25,52,15,160,3
38,run_0038,32,0.4,32,0.0005,5,8,20,0.9,0.0001,0.9043,0.7797,0.8364,0.807,0.9626,0.889,116.6657,80.8848,37.3712,52,18.0,85,56,29,32.25,46,13,162,9
39,run_0039,32,0.4,32,0.0005,8,4,20,0.9,0.0001,0.9217,0.7761,0.9455,0.8525,0.9676,0.8999,131.2844,94.6479,40.2504,82,19.0,85,56,29,32.25,52,15,160,3
40,run_0040,32,0.4,32,0.0005,8,8,20,0.9,0.0001,0.9217,0.7937,0.9091,0.8475,0.9738,0.9186,124.5768,82.8303,44.579,59,24.8,85,56,29,32.25,50,13,162,5
41,run_0041,32,0.4,64,0.0003,5,4,20,0.9,0.0001,0.9087,0.7833,0.8545,0.8174,0.9599,0.8804,126.1859,89.7787,40.3802,55,10.7,85,56,29,32.25,47,13,162,8
42,run_0042,32,0.4,64,0.0003,5,8,20,0.9,0.0001,0.9087,0.7742,0.8727,0.8205,0.9602,0.8613,118.8955,69.2482,56.3412,62,26.6,85,56,29,32.25,48,14,161,7
43,run_0043,32,0.4,64,0.0003,8,4,20,0.9,0.0001,0.9087,0.7931,0.8364,0.8142,0.9682,0.9072,134.9584,94.2859,46.5696,54,13.3,85,56,29,32.25,46,12,163,9
44,run_0044,32,0.4,64,0.0003,8,8,20,0.9,0.0001,0.9174,0.7727,0.9273,0.843,0.9659,0.8882,128.2698,83.7155,49.4857,49,21.4,85,56,29,32.25,51,15,160,4
45,run_0045,32,0.4,64,0.0005,5,4,20,0.9,0.0001,0.8913,0.7273,0.8727,0.7934,0.9509,0.845,127.3214,90.2363,40.8925,37,7.5,85,56,29,32.25,48,18,157,7
46,run_0046,32,0.4,64,0.0005,5,8,20,0.9,0.0001,0.8957,0.7183,0.9273,0.8095,0.951,0.8083,117.9433,68.5914,54.8126,51,19.8,85,56,29,32.25,51,20,155,4
47,run_0047,32,0.4,64,0.0005,8,4,20,0.9,0.0001,0.9261,0.88,0.8,0.8381,0.9658,0.8873,134.2708,94.0449,44.1895,45,10.5,85,56,29,32.25,44,6,169,11
48,run_0048,32,0.4,64,0.0005,8,8,20,0.9,0.0001,0.8783,0.6709,0.9636,0.791,0.9488,0.8269,130.1427,83.4927,50.1668,39,17.8,85,56,29,32.25,53,26,149,2
49,run_0049,64,0.3,24,0.0003,5,4,20,0.9,0.0001,0.9087,0.7429,0.9455,0.832,0.958,0.8395,126.1727,104.2147,23.2339,71,8.8,85,56,29,32.25,52,18,157,3
50,run_0050,64,0.3,24,0.0003,5,8,20,0.9,0.0001,0.9087,0.7656,0.8909,0.8235,0.9635,0.8795,117.071,84.7407,33.7386,93,22.9,85,56,29,32.25,49,15,160,6
51,run_0051,64,0.3,24,0.0003,8,4,20,0.9,0.0001,0.913,0.7778,0.8909,0.8305,0.9665,0.9051,130.897,110.7575,21.0012,124,14.5,85,56,29,32.25,49,14,161,6
52,run_0052,64,0.3,24,0.0003,8,8,20,0.9,0.0001,0.8957,0.7013,0.9818,0.8182,0.9543,0.8266,130.4526,91.7654,44.0208,96,22.0,85,56,29,32.25,54,23,152,1
53,run_0053,64,0.3,24,0.0005,5,4,20,0.9,0.0001,0.9087,0.7656,0.8909,0.8235,0.9642,0.8876,119.906,95.0867,25.7224,85,10.6,85,56,29,32.25,49,15,160,6
54,run_0054,64,0.3,24,0.0005,5,8,20,0.9,0.0001,0.9304,0.8197,0.9091,0.8621,0.9733,0.9048,116.5743,80.3839,39.4602,68,15.8,85,56,29,32.25,50,11,164,5
55,run_0055,64,0.3,24,0.0005,8,4,20,0.9,0.0001,0.9261,0.8654,0.8182,0.8411,0.9712,0.9196,130.7487,102.1604,29.7475,104,13.1,85,56,29,32.25,45,7,168,10
56,run_0056,64,0.3,24,0.0005,8,8,20,0.9,0.0001,0.9043,0.7391,0.9273,0.8226,0.9553,0.8422,124.555,89.7313,38.1874,62,15.9,85,56,29,32.25,51,18,157,4
57,run_0057,64,0.3,32,0.0003,5,4,20,0.9,0.0001,0.9348,0.8226,0.9273,0.8718,0.9694,0.8812,123.6201,96.0155,28.3945,89,11.0,85,56,29,32.25,51,11,164,4
58,run_0058,64,0.3,32,0.0003,5,8,20,0.9,0.0001,0.887,0.6986,0.9273,0.7969,0.9593,0.8755,118.6365,80.6519,38.8477,65,15.6,85,56,29,32.25,51,22,153,4
59,run_0059,64,0.3,32,0.0003,8,4,20,0.9,0.0001,0.9217,0.8033,0.8909,0.8448,0.9679,0.9003,133.4807,106.0537,29.4808,85,10.4,85,56,29,32.25,49,12,163,6
60,run_0060,64,0.3,32,0.0003,8,8,20,0.9,0.0001,0.9043,0.7619,0.8727,0.8136,0.9617,0.8808,127.8001,89.0977,42.5009,74,18.4,85,56,29,32.25,48,15,160,7
61,run_0061,64,0.3,32,0.0005,5,4,20,0.9,0.0001,0.9087,0.7429,0.9455,0.832,0.9676,0.8929,123.9717,92.8721,33.1311,73,8.8,85,56,29,32.25,52,18,157,3
62,run_0062,64,0.3,32,0.0005,5,8,20,0.9,0.0001,0.8957,0.7385,0.8727,0.8,0.9568,0.8581,118.0367,78.0733,43.0486,55,13.6,85,56,29,32.25,48,17,158,7
63,run_0063,64,0.3,32,0.0005,8,4,20,0.9,0.0001,0.9217,0.8033,0.8909,0.8448,0.9658,0.8919,134.9358,99.8982,38.7352,69,9.5,85,56,29,32.25,49,12,163,6
64,run_0064,64,0.3,32,0.0005,8,8,20,0.9,0.0001,0.8913,0.7143,0.9091,0.8,0.9573,0.8628,125.318,80.8173,49.7915,71,18.6,85,56,29,32.25,50,20,155,5
