run_id,folder,batch_size,dropout,hidden_dim,learning_rate,n_bins,n_layers,patience,pca_variance,weight_decay,accuracy,precision,recall,f1,auroc,avg_precision,best_val_loss,final_train_loss,train_val_gap,epochs_trained,train_time_sec,n_pca_total,n_pca_fp,n_pca_ch,tail_bound,TP,FP,TN,FN
1,run_0001,32,0.3,24,0.0003,5,4,20,0.9,0.0001,0.9368,0.9432,0.9671,0.955,0.9559,0.9759,122.4994,98.9458,25.0719,113,23.9,85,56,29,32.25,382,23,152,13
2,run_0002,32,0.3,24,0.0003,5,8,20,0.9,0.0001,0.9298,0.9257,0.9772,0.9507,0.9434,0.9643,115.9322,85.655,31.555,64,25.0,85,56,29,32.25,386,31,144,9
3,run_0003,32,0.3,24,0.0003,8,4,20,0.9,0.0001,0.9281,0.9194,0.9823,0.9498,0.9329,0.9616,126.9253,102.5006,24.9845,115,33.1,85,56,29,32.25,388,34,141,7
4,run_0004,32,0.3,24,0.0003,8,8,20,0.9,0.0001,0.9053,0.9108,0.957,0.9333,0.9302,0.9635,124.4538,88.4692,40.728,76,38.6,85,56,29,32.25,378,37,138,17
5,run_0005,32,0.3,24,0.0005,5,4,20,0.9,0.0001,0.9333,0.9451,0.9595,0.9523,0.9563,0.9762,122.3425,95.2172,28.2751,86,21.2,85,56,29,32.25,379,22,153,16
6,run_0006,32,0.3,24,0.0005,5,8,20,0.9,0.0001,0.9228,0.9129,0.9823,0.9463,0.9368,0.9621,117.6835,79.1028,40.9645,77,34.4,85,56,29,32.25,388,37,138,7
7,run_0007,32,0.3,24,0.0005,8,4,20,0.9,0.0001,0.9211,0.9187,0.9722,0.9446,0.933,0.96,129.8248,98.0247,32.7508,80,21.4,85,56,29,32.25,384,34,141,11
8,run_0008,32,0.3,24,0.0005,8,8,20,0.9,0.0001,0.9,0.9142,0.9443,0.929,0.9398,0.9674,123.4671,82.1942,44.0448,75,39.0,85,56,29,32.25,373,35,140,22
9,run_0009,32,0.3,32,0.0003,5,4,20,0.9,0.0001,0.9246,0.9171,0.9797,0.9474,0.9422,0.9673,122.4315,95.4337,30.5046,79,18.1,85,56,29,32.25,387,35,140,8
10,run_0010,32,0.3,32,0.0003,5,8,20,0.9,0.0001,0.9211,0.9127,0.9797,0.9451,0.9316,0.9608,114.8523,79.2945,36.9504,66,28.9,85,56,29,32.25,387,37,138,8
11,run_0011,32,0.3,32,0.0003,8,4,20,0.9,0.0001,0.9158,0.9263,0.9544,0.9401,0.9451,0.9708,128.4862,98.531,30.4722,97,28.5,85,56,29,32.25,377,30,145,18
12,run_0012,32,0.3,32,0.0003,8,8,20,0.9,0.0001,0.9281,0.9234,0.9772,0.9496,0.9326,0.9554,124.2553,85.9704,42.3568,69,40.2,85,56,29,32.25,386,32,143,9
13,run_0013,32,0.3,32,0.0005,5,4,20,0.9,0.0001,0.9228,0.9189,0.9747,0.9459,0.9484,0.9719,122.4807,92.3082,30.5571,65,15.2,85,56,29,32.25,385,34,141,10
14,run_0014,32,0.3,32,0.0005,5,8,20,0.9,0.0001,0.9088,0.8961,0.9823,0.9372,0.9331,0.9623,116.8133,80.7839,36.9155,52,24.0,85,56,29,32.25,388,45,130,7
15,run_0015,32,0.3,32,0.0005,8,4,20,0.9,0.0001,0.9211,0.9147,0.9772,0.9449,0.9354,0.9634,134.145,100.9217,36.6147,58,18.8,85,56,29,32.25,386,36,139,9
16,run_0016,32,0.3,32,0.0005,8,8,20,0.9,0.0001,0.9175,0.9203,0.9646,0.9419,0.942,0.9686,124.6746,84.0359,44.0258,48,25.8,85,56,29,32.25,381,33,142,14
17,run_0017,32,0.3,64,0.0003,5,4,20,0.9,0.0001,0.9175,0.9223,0.962,0.9418,0.9359,0.964,125.848,89.8816,39.7469,53,13.6,85,56,29,32.25,380,32,143,15
18,run_0018,32,0.3,64,0.0003,5,8,20,0.9,0.0001,0.9333,0.922,0.9873,0.9535,0.9455,0.9659,120.6015,74.972,48.7998,48,23.5,85,56,29,32.25,390,33,142,5
19,run_0019,32,0.3,64,0.0003,8,4,20,0.9,0.0001,0.9053,0.9252,0.9392,0.9322,0.9367,0.9597,135.6928,94.155,44.4535,55,15.5,85,56,29,32.25,371,30,145,24
